"   ","ID","COMPANY_ID","OFFICE_ID","LOGIN_NAME","PASSWORD","NO","NAME","EMAIL","PHONE","MOBILE","USER_TYPE","LOGIN_IP","LOGIN_DATE","CREATE_BY","CREATE_DATE","UPDATE_BY","UPDATE_DATE","REMARKS","DEL_FLAG"
"1","1","1","1","thinkgem","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0001","Thinkgem","thinkgem@163.com","8675","8675","","127.0.0.1","08-7月 -14 05.10.44.937000 下午","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","最高管理员","0"
"2","2","1","1","admin","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0002","管理员","thinkgem@163.com","8675","8675","","127.0.0.1","08-7月 -14 08.59.14.312000 下午","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","管理员","0"
"3","3","1","3","bj_zhb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0003","综合部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","综合部","0"
"4","4","1","4","bj_scb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0004","市场部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","市场部","0"
"5","5","1","5","bj_jsb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0005","技术部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","技术部","0"
"6","6","1","6","bj_yfb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0006","研发部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","研发部","0"
"7","7","7","8","sd_admin","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0007","山分领导","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","山东省分公司领导","0"
"8","8","7","9","sd_zhb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0008","山分综合部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","山东省分公司综合部","0"
"9","9","7","10","sd_scb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0009","山分市场部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","山东省分公司市场部","0"
"10","10","7","11","sd_jsb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0010","山东省分公司技术部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","山东省分公司技术部","0"
"11","11","12","13","sdjn_admin","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0011","济分公司领导","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","济南分公司领导","0"
"12","12","12","18","sdjnlc_admin","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0012","济分历城领导","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","济南市历城区分公司领导","0"
"13","13","22","23","sdjnlx_admin","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0013","济分历下领导","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","济南市历下区分公司领导","0"
"14","14","22","24","sdjnlx_zhb","02a3f0772fcca9f415adc990734b45c6f059c7d33ee28362c4852032","0014","济分历下综合部","thinkgem@163.com","8675","8675","","","","1","27-5月 -13 08.00.00.000000 上午","1","27-5月 -13 08.00.00.000000 上午","济南市历下区分公司综合部","0"
